,標題,時間,作者,內文,留言作者,留言
392,[分享] MOROHA-三文錢(大暖參戰日本雙人組),Fri Jan 25 22:49:22 2019,davidliu4417 (RASON),"
Hello 大家好，
我是剛從Berklee中輟回台的bass手/編曲家，
跟同樣是來自台灣的主唱在學校一起cover 了Been On My Mind by R+R=NOW
還mash up了盧廣仲的魚仔，
跟大家分享一下！感謝！

https://www.youtube.com/watch?v=jxXmYvJ3MIk&t=0s


--
",[],[]
393,[分享]魚仔 - 盧廣仲 R&B/Soul改編 cover,Fri Jan 25 23:36:38 2019,guanhou (guanhou),"
嗨大家晚安
聊聊今晚的大暖祭
https://i.imgur.com/hCZTiGj.jpg

看到主辦貼了這篇才知道外面的人潮
是說大龍山跟大圓山兩個舞台好像離太近了
感覺真的很多人被擋在外面
八點半就去卡位還是在最後啊啊啊
不過意外視野蠻不錯的
https://i.imgur.com/Lz46MZB.jpg


主辦辛苦了！！
希望問題能改善
大家明後天玩得開心～～

--
","['john0liang', 'mark861121', 'mark861121', 'alznno', 'alwaysthe', 'alwaysthe', 'hsurain17', 'jerry1757', 'attackJ', 'andy54088', 'andy54088', 'NouTsan', 'NouTsan', 'NouTsan', 'minc1011', 'alznno', 'alznno', 's916813', 'sickiam', 'jcliu', 'blueskymaple', 'blueskymaple', 'blueskymaple', 'blueskymaple', 'charlie60508', 'fightingman', 'fightingman', 'fightingman', 'IndieMusic', 'ashianQQ', 'yorkboy', 'moluishere', 'ashianQQ', 'ashianQQ', 'ashianQQ', 'booyah0212']","[': 慘業還需大家購票支持！', ': 那兩個舞台真的太近而且好小...茄子蛋開始的時候音響', ': 是不是還出點問題？', ': 對啊 不知道是沒聲音還是怎樣 開場有重來', ': 這次大舞台動線配置真的有待改進 畢竟是第一次辦台北', ':  祈禱第三天不要塞爆 想舒服看落日&Deca ><', ': 覺得大龍山那兩個大螢幕好可惜，沒用來轉播QQ', ': 覺得那兩個舞台太小+1', ': 樓主也太好了吧，去年大港也沒那麼扯', ': 茄子蛋開場的時候麥克風沒聲音', ': 粉專一片哀嚎', ': 我覺得在對的時間卡進圓山龍山連看三團視野都不錯呀', ': 從The Birthday到IMU再到茄子蛋，站架子上都輕鬆看', ': 唯一有意見的大概是舞台正對，set的時候會影響到表演', ': 大聲公那個舞臺在過馬路人潮的動線上，位置實在很不優==', ': 我今天要看的都有看到所以我沒生氣 明天就不知道了XD', ': 唯一覺得困擾的就是要去現場取票走好遠XD', ': 茄蛋明顯一開始外場沒開啊', ': 臉書小編專門提油救火的，還是小編就是主辦人吧', ': 我美秀就沒看到了，晚到加上5：25才換到手環根本來不及', ': 茄子蛋一開始PA附近聽眾就一直大喊外場沒開了', ': 美秀超誇張 進不去的就排隊到天橋下的馬路旁了', ': 第一天除了美秀(進不去)跟莫宰羊(出不去)都有看到想', ': 看的', ':  https://i.imgur.com/AxXPiF1.jpg', ': 主舞台真的很小，主辦完全沒有想改善的意思，一開始', ': 粉專小編還叫擠不進去的人去看免費舞台，後來抱怨的', ': 人太多才改說有排人疏散人潮', ': 花博公園根本放不下六個舞台啊Orz 大概四個差不多', ': http://i.imgur.com/D3e4nLL.jpg', ': 今天一樣慘啊，人進不去，錢一樣收', ': 擠不進去+1', ': http://i.imgur.com/DSU6ocE.jpg', ':  http://i.imgur.com/VNSHoZ9.jpg', ': http://i.imgur.com/qEHHXn9.jpg', ': 第二天改善應該還行吧']"
394,[閒聊] 覺醒大暖祭Day1,Sat Jan 26 00:45:18 2019,alznno (\裴珍映/),"
大暖第一次殺上來台北
選在花博有重返野台榮耀的感覺
這對樂迷來說是件好事

但把主舞台弄成這樣，出入口又只有一個?
雙舞台火球也有國外也常見
但問題是空間阿!!

有人認為本來就要提前進場卡位
我認為這種說法在像是室內(大港海龍、藍寶)或室外樓頂舞台(出頭天)還說得過去
本來就有容量與載重的限制
而這些空間也不敢劃設成主舞台

但 戶外+主舞台能說本來就要先進場?
現在的問題不是出在不能卡到前面而是連進去都無法?
今天我看到的是提前一小時進不去
想請問所謂的提前是要多早呢?

更不要說音樂祭是每個人都站著不會動?
第二天開血肉火器無妄etc
咩頭龐克這樣搞不怕出人命?
我音樂祭參加的少，但別騙我


--
","['ashianQQ', 'ashianQQ', 'sickiam', 's916813', 's916813', 's916813', 'john52795', 'john52795', 'mOnieeee', 'mOnieeee', 'mOnieeee', 'Slashing', 'IndieMusic', 'IndieMusic', 's916813', 's916813', 'john0liang', 'Yanagi5566', 'hsnufuji', 'hsnufuji', 'ashianQQ', 'yorkboy', 'wqe4r3sdf', 'wqe4r3sdf', 'wqe4r3sdf', 'bubblet', 'Yanagi5566']","[': 旁邊還有絆腳的欄杆呢', ': 等著看一堆人撞到跌倒xD', ': 哈 別拿野台出來提了 等級差太多', ': 大團提早排是對的但主舞台真的太小', ': 提前一小時可以啦我八點半就進去等茄蛋了', ': 兩個主舞台加起來搞不好都沒有leagcy大', ': 傻眼 特地高鐵上來看場外餐車播MV的', ': 連場地大小容量都不會算的主辦... QQ', ': 我記得野台主舞台光是長度就等於這次兩大舞台的總長了', ': 舞台本身又比大暖寬 不太懂為什麼不把一個大舞台放去橋', ': 的另一邊（野台印象中是放大姆哥後方）', ': 狀況外，今天出門看個The Birthday就回家ㄌ', ': 野台是兒童育樂中心，場地跟花博差很多啊！大暖就是', ': 場地不夠大又想弄那麼多舞台、賣那麼多票，然後就爆炸', ': 其實大暖也是非戰之罪啦北市府規定要三個免費舞台', ': 然後腹地不夠大就爆炸了', ': 喔喔，原來三個免費舞台是台北市政府規定，長知識了。', ': 北市府那麼兇殘啊......', ': 沒什麼非戰之罪吧... 場地就不是和，硬要辦，結果就這樣', ': 其他音樂季幹嘛拉到那麼偏僻的地點，都是有原因的', ': http://i.imgur.com/D3e4nLL.jpg', ': 87', ': 提早進去 那後面的該死嗎 場地明明還有空間 就做很小', ': 早就該直接弄到最大才對 無法理解在想什麼', ': 都十年經驗了 票賣多少 人數場地一看就知道吧', ': 哦哦，我今天13:00到的，這是已經拓寬過了[email\xa0protected]@.....orz', ': 有啊 多了一個草皮']"
395,[閒聊] 大暖的問題,Sat Jan 26 07:30:06 2019,attackJ (),"
是這樣子的

從來沒有去過收費的音樂祭

這次躍躍預試 因為有想聽的歌手

不過沒有搶到票

朋友有多的票可以賣我 但是也有去過朋友勸我不要

爬了文看了粉專 有幾個問題想問去過第一天的朋友

1.票除了未來之外應該就只能是套票。

我的想像中，應該就是像園遊會這樣，一票玩三天。想看什麼就看什麼，各種場地自由安
排進進出出，看自己想看的表演。這樣理解是正確的吧？(如果不考慮人的話)

2.想看的表演跟其他的舞台在地圖上看起來離的很近。不知道會不會干擾到？還是說主辦
單位用表演時間交錯避開這個問題？

3.看粉專好像人很多。所以如果自己想看的是下午的某組歌手的話。是不是超早去排，然
後一直待在裡面等才行?(也就是大家流動率是不是都不高啊？


看了粉專有點嚇到，跟以往看音樂祭的感覺滿不同的。還是大家建議如果只需要聽特定幾
組歌手的話，在入口外面遠遠的看跟聽也是不錯的選擇(？

先謝謝各位的回答

感激不盡！

--
","['john52795', 'john52795', 'eugene0701', 'eugene0701', 'jidytri815', 'eugene0701', 'eugene0701', 'jidytri815', 'Yanagi5566', 'Yanagi5566', 'Yanagi5566', 'hannocps', 'hannocps', 'eugene0701', 'eugene0701', 'hannocps', 'hannocps', 'eugene0701', 'hannocps', 'hannocps', 'hannocps', 'ashianQQ', 'ashianQQ', 'ashianQQ', 'eugene0701', 'ashianQQ', 'yorkboy', 'ashianQQ', 'ashianQQ', 'ashianQQ', 'ashianQQ', 'ashianQQ', 'ashianQQ', 'ashianQQ', 'andylai1997', 'fightingman', 'ilovetherock', 'ilovetherock', 'moluishere', 'NouTsan', 'Yanagi5566', 'moluishere', 'kin861115', 'kin861115', 'kin861115', 'john52795', 'john52795']","[': 這次大暖不建議...可以考慮其他場 我是怕你以後都不去', ': 音樂祭了     我是買未來票的 大暖算是贈品 放寬心了', ': 借串問一下 如果要去其他地方（像legacy 或the wall', ': 之類的）是要另外到現場買票嗎？', ': 對 要另外買', ': 是到現場買嗎？然後是買個別的樂團還是那個場地的都可', ': 以看？', ': 好像之前有另外售票ㄛ', ': 我人生第一場付費音樂祭是大港', ': 更正 是火球再大港', ': 推薦你從火球入門 登玉山而小台灣', ': 借問另外購票的展演空間要去哪買票？現場嗎？(覺醒滿會', ': 收費的XD不過邀請來的樂團歌手內容真的不錯~)', ': 我剛看到這裡有 https://bit.ly/2RMgc7E', ': 不知道現場會不會賣', ': 我想應該是那場地所有的都可以看吧？時間排的那麼密集，', ': 只能看一場也太...', ': 剛看了 是場地的都可以沒錯', ': 不過有點半專場性質的的，如果是很喜歡的話，我覺得還可', ': 以，看起來還有票，應該不會像照片現場那麼悲劇(？畢竟', ': 比較容易限/控制人數', ': 額外付費展演空間的人數應該不用太擔心，都會管制', ': 頂多票soldout讓你覺得有點擠而已', ': 不會像花博主舞台是連擠都擠不進去', ': 想問有人知道現場會不會賣嗎？', ': http://i.imgur.com/D3e4nLL.jpg', ': 一堆人在舞台外面進不去啊，莫名其妙', ': http://i.imgur.com/mWQEzYp.jpg', ': http://i.imgur.com/swhuOqK.jpg', ': http://i.imgur.com/x6lfCiZ.jpg', ': 地拓寬 黑布拆掉 pa帳篷縮小化', ': 可多塞至少一倍人數', ': 草地的帳篷也剛好可以擋住沒買票民眾的視線', ': 算是有補救成功', ': 這個補救措施真的滿不錯的，至少看得到舞台了', ': 有駡有改進，要推一下', ': 有改進啦 買了票就去阿～～有音樂祭能參加就好好把', ': 握 不用在意從哪個入門啦 能去就都去囉', ': 有改善有推', ': 我比較好奇第二天還進不去的是都卡在幾點?', ': 第二天加開山丘區後就沒有進不去的問題惹', ': 老王的時候才加開草皮啊，安溥的時候還是整個塞住', ': 我覺得一樓太誇張 我人生第一場音樂祭是Fuji rock 那個', ': 才真的擠到瘋掉 大暖不管是場地規劃還是後來聽取意見拓', ': 寬 已經沒什麼好挑剔了', ': 嗯嗯這次還是給推啦 當時第一天很氣才這樣說的 後來有', ': 改進讚讚讚']"
396,[閒聊] 想請問去大暖現場的朋友幾個問題,Sat Jan 26 19:55:59 2019,hannocps (拍劭),"

當初會認識他們
是由街聲fb小編推薦才知道

這次來大暖儘管有付費買票
但私心最期待就是這團免費觀看演出的新團
《YELLOW》

整團都是高顏值
曲風遊走R&B、Jazz、Soul、Funk等
音樂有讓人離不開的魔力，再配上團員輕鬆但又不隨意的舞台魅力，極容易讓觀眾跟著音樂一起搖擺，可謂2019、2020值得注目的一團！

2018年尾在河岸留言演出，已經在同溫層引起討論
期待有更多人能認識他們

附上大暖的演出片段_不開燈俱樂部：
https://youtu.be/OCZIGAu6kgo

羊皮先生：
https://youtu.be/XJPpz3gKjRI

不開燈俱樂部：https://youtu.be/ypbd9cC4Gms

FB:https://www.facebook.com/y310music/
IG:https://instagram.com/y310music?utm_source=ig_profile_share&igshid=160hwx3x2iqmu
不開燈俱樂部：https://youtu.be/ypbd9cC4Gms






-----
Sent from JPTT on my HTC_U-3u.

--
","['q076262018', 'eugene0701', 'jessie0831', 'jidytri815', 'heyma', 'astraywon', 'astraywon', 'astraywon', 'stacysha', 'sodaer', 'jcliu', 'buzzmumu', 'SuperRoMay', 'novlo', 'tinggg658', 'gp999']","[': Fucking groove', ': 今天也好想去看 但是撞到隨性 忍痛放棄 感覺好可惜啊', ': 今天趕到看的第一團 直接命中！', ': 推 Live超讚', ': 本日MVP', ': 大推啊！關於青春2.0時咖咖有推薦，昨天找來聽就愛上！', ': 接著果斷放入DAY2必須聽的團<3 好期待他們未來的發展！', ': 我最愛羊皮先生，正在聽，LOOP慘了！', ': 路過聽到很驚艷，期待之後演出～', ': 聽過直接中！', ': 有讓人不想離開的魔力，4：30才離開去看神奇膠', ': 十點半的飛機~~~   yellow必須推，一聽就愛上', ': 超想聽這場啊啊啊', ': 路過然後就聽完了', ': Yellow真的超讚 很chill', ': 推ㄍ']"
397,[分享] 神秘新團_《YELLOW》_大暖祭,Sat Jan 26 22:52:46 2019,ashianQQ (阿賢別QQ),"
聊聊今天第二天

雙主舞台是有拓寬啦

但變成在小山坡看表演 + 野餐？

明天的血肉 滅火器 感覺會失控？

另一地的大稻埕舞台（以前的野台舞台）

今明兩天陣容 都非常好啊 而且是免費舞台

個人認為 大稻埕舞台 是目前最好的舞台！

--
","['Yanagi5566', 'Yanagi5566', 'Yanagi5566', 'mark861121', 'mark861121', 'fightingman', 'robin8013', 'robin8013', 'fightingman', 'fightingman', 'eugene0701', 'feather0911', 'feather0911', 'feather0911', 'Yanagi5566', 'Yanagi5566', 'john0liang', 'andylai1997', 'feathergod', 'cheetha', 'k547382', 'Yanagi5566', 'StayJunkies', 'StayJunkies', 'StayJunkies', 'sodaer', 'john52795', 'ismydear', 'fightingman', 'andylai1997', 'ray5856', 'ray5856', 'YYhwang']","[': 大稻埕最高+1', ': 然後今天大拇哥音場燈光都好差', ': 燈光出戲 甜約翰音響到後面有雜聲', ': 今天山丘跟拆黑幕是一個很不錯的改善', ': 剛剛聽完新褲子突然覺得超值了！', ': 真的今天pisco很讚，期待明天怕胖', ': 山丘難民區', ': 然後大稻埕是本次最棒的舞台無誤', ': 剛剛的新褲子也很棒，但是大聲公的舞台真的太小了，', ': 晚上的HARU 超HI的，但場地太小，被這兩團圈粉了', ': 甜約翰的雜音在南瓜妮的時候就有了', ': 南瓜妮聽的很痛苦QQ我恨', ': 大稻埕超讚的  雖然太擠了隨性沒辦法下去撞不過還是', ': 很爽', ': 明天大稻埕爭奪戰 大家加油！', ': 我跟蛋糕也是一樣的疑問 為什麼那個舞台要叫大稻埕xD', ': 明天我一早要來看 鄭宜農 ！', ': 我真的之後要寫一篇文推haru，今天被超級圈粉了嗚嗚', ': 大稻埕超棒 今天看88跟隨性都超嗨', ': 大稻埕隨性根本護城河都快倒了', ': 大聲公的haru超活潑，表演結束後還可以在旁邊和她合照', ':  https://i.imgur.com/wzIsLv7.jpg', ': 隨性時的護城河真的差點就翻了 工作人員真的辛苦了', ': 有一個工作人員還試圖想爬上去拍照 好險被勸退 太危', ': 險了', ': 昨天大姆哥的南瓜妮真的慘 前三首vocal根本幾乎不見', ': 新褲子太屌了吧嚇死我了', ': 昨天看桃草 今天看新褲子！爽！', ': haru還跳下來人體衝浪，太屌了能不推嗎？', ': 今天怕胖護城河也差點倒XDD', ': 大拇哥糟透...昨天南瓜泥無線Mic一直收音斷訊', ': 人聲Vocal消失，我看到家洋在台上一直求救的手勢XD', ': 大拇哥想聽南瓜泥山坡上的薩滿 結果完全沒聲音']"
398,[閒聊] 大暖Day2,Sun Jan 27 07:10:04 2019,sky31240 (hehehaha),"
每一次聽美秀的外遇三部曲
特別是米兒跟小老婆
都會想狗柏到底是經歷過什麼
有沒有卦啦

--
","['stube60510', 'Yanagi5566', 'TakeMyUltra', 'yayzh', 'abalsampear', 'blueskymaple', 'bruce18356', 'qq014', 'a2530720']","[': 比起那兩首我更在意懶趴火到底發生了什麼事…', "": o'_'o"", ': 不說剃頭 鴨肉羹真的爆幹好吃', ': 電火王整張都強到不行', ': 想知道懶趴火故事詳細 哈哈哈', "": 有時候跑專場就會想問歌詞背後的故事o'_'o"", ': 豆漿灑的到處都是', ': 我新港長大 很難贏香腸阿伯的擲骰子', ': 超想知道懶趴火的剃頭店在哪']"
399,[閒聊] 有沒有歌詞的八卦,Sun Jan 27 19:23:23 2019,blueskymaple (☆大谷翔平我老公☆),"
觀眾也太少了吧
目前不到20人
八點要開始了
昨天在這看桃草爆滿說
反差好大

--
","['BradfordCox', 'BradfordCox', 'fordayever', 'fordayever', 'bluexox', 'Yanagi5566', 'clien7498', 'ti25', 'eugene0701', 'c83824', 'Workshy', 'Workshy', 'amemifta', 'jcliu', 'ismydear', 'ashianQQ', 'ashianQQ', 'ismydear', 'bubblet', 'ashianQQ', 'todoke', 'ismydear']","[': 新褲子在台灣不算很紅吧 雖然現場很好聽 加上專場價', ': 不便宜 之前看惘聞現場中國人還比較多', ': 昨天音樂祭壓軸', ': 希望有機會看到假假條來台灣', ': 新褲子超讚的', ': 撞滅火器沒辦法', ': 覺得算很紅 但免費場有得看 專場價錢又高所以～', ': 今天超好看 無憾', ': 撞到滅火器啊QQ不然應該會去', ': 昨天第一次聽到馬上被圈粉，棄守VOOID買專長惹～', ': 整個超爽  一個樂團唱自己20年前的歌曲那麼有熱情絕對是', ': 個值得一聽的團', ': 推 d2現場超high', ': 好奇最後人有多起來嗎？', ': 目測約300人', ': 董事長也不錯耶', ': 有一首打拳擊的歌互動超好', ': 能在台北看到真的很難得啊 上次大彩虹還跑去高雄看 ！', ': 董事長那首 山地醉拳', ': 啊啊啊謝謝樓上', ': 超想去聽新褲子，但沒空去大暖!!希望有機會聽到專場', ': 能在台灣聽到兩次覺得很幸福了...']"
400,[心得] 新褲子現場,Sun Jan 27 22:31:09 2019,ismydear (ismydear),"
真的神

嗩吶手很帥

苦海無邊！ 回頭是岸！

--

sent from my iWatch6

--
","['tanakakumako', 'simanman']","[': 被蔥卡到喉嚨', ': 九號公路上不去 覺得可惜']"
401,[心得] 神棍現場,Mon Jan 28 00:03:16 2019,kryadsr (高度專業廢話訓練師),"
如標題

大家來聊聊 許久沒在台北的音樂祭

2019的第一個音樂祭 心得

個人是認為 第一天晚上產生的問題

馬上修正改善 這點要推

另外大家認為 雙主舞台好嘛

這次有６個舞台會太多嘛

希望大暖祭真的能為台北找回以前野台的榮景啊！

--
","['tanakakumako', 'jidytri815', 'jidytri815', 'eugene0701', 'andylai1997', 'andylai1997', 'Yanagi5566', 'Yanagi5566', 'cara0981', 'fordayever', 'Yanagi5566', 'dimasds', 'Slashing', 'feathergod', 'qq014', 'qq014', 'qq014', 'neko96', 'neko96', 'dimasds', 'brian060587', 'IndieMusic', 'IndieMusic', 'john52795', 'john52795', 'john52795', 'TakeMyUltra', 'TakeMyUltra', 'TakeMyUltra', 'muds', 'a81100456', 'a81100456', 'a81100456', 'k300plus', 'dimasds', 'dimasds', 'jidytri815', 'gash8830']","[': 雙主舞台還行，但出入口的規模感覺有點低估人潮了', ': 希望官方可以多管制或推廣使用吸菸區 今天多了一堆直', ': 接在路上抽煙的', ': 今天抽煙的真的很多 喝醉的也很多 今天好像特別亂（？', ': 路上很多喝醉的人才是音樂祭常態吧XD', ': 前兩天還覺得奇怪大家今年都好理性飲酒', ': 護城河最後一天終於崩潰了 這超危險的', ': 然後音場也有部分沒什麼改善', ': 很棒啊我後來去附近的triangle才正式喝醉', ': 覺得大草原跟大聲公不太適合金屬團 空間太小', ': 但覺得覺醒團隊已經辦的很認真了', ': 路上很多人抽煙 覺得崩潰', ': 咖哩飯好雷', ': 聽拍謝的時候有人直接在人群中吸菸 超垃圾', ': 還希望能多一些流動廁所 不然每次都要大稻埕跟廁所之間往', ': 返累爆', ': 但能喝到醉真的很開心', ': 大拇哥的硬體真的很有問題.....從day2南瓜妮到day3的Vooid', ': 都讓人想哭出來', ': 在大圓山跟大龍山也是有人邊抽邊聽 很沒公德心', ': 場內觀眾群中抽菸真的垃圾', ': 我個人還是覺得，台北市規定、限制多，不適合就不要硬', ': 辦，要辦就要承擔。', ': 公共空間抽煙真的無奈還能怎麼辦', ': 去年覺醒電火雞根本抽到爆跟粉專馬上反應 小編叫我去', ': 跟工作人員說 有用的話 我還要問你小編嗎...', ': 唱巫毒的時候一堆人直接點煙高舉了', ': 雖然是預料中事 但還是覺得很不妥', ': *堵', ': 抽菸問題+1', ': 只有我覺得主舞台小到爆炸嗎？我第一次聽滅火器是擠到', ': 無法衝撞的欸，後面不撞的人群沒位置退，在前面整個像', ': 台北市跨年晚會現場的感覺，真心覺得體驗非常差', ': 抽菸仔真的很垃圾哀', ': 第一次到付費的音樂祭  再享受時候鼻子一直聞到煙味 真', ': 的超幹', ': 好不容易拓寬出來的草地有人拿來坐也是很扯', ': 排隊的時候也有人抽煙']"
402,[閒聊] 大暖三日心得,Mon Jan 28 14:53:45 2019,sky31240 (hehehaha),"
如題～

剛剛看Blow吹音樂報導：

「這次大暖季宇宙人特別邀請Tizzy Bac的鼓手前源代打，現場他們也翻唱Tizzy Bac的經典歌曲〈You’ll See〉成宇宙人風格」

自己昨天爬不起來…錯過宇宙人本來已經有點扼腕惹，看到這個更叫我捶心肝！很喜歡 Tizzy Bac 這首歌啊～～～不知道有人有錄影可以讓我過過乾癮嗎？

感謝！

（手機排版跑掉…或是字給我突然變成亂碼…傷眼請見諒...)

--
","['c83824', 'c83824', 'c83824', 'fish510468', 'cyhuan', 'oioio', 'cosmosbomb', 'eugene0701', 'eugene0701', 'adiharu', 'adiharu', 'SuperRoMay']","[': 唉唉…重發三次…那個「S」都變成亂碼！還請各位給予包容', ': QQ', ': QQ', ': 我也想看QQ', ': FB宇宙友聯盟裡面有！', ': 我有錄前面近一分半....', ': 有！我晚點發上油管', ': https://www.youtube.com/watch?v=wdYdShQch44', ': 傳好了', ': 謝謝樓上', ': 聽到前奏直接衝進去', ': 喔喔喔感謝分享']"
403,[問題] 有人有宇宙人翻唱〈You’ll詉ee〉的錄影嘛？,Mon Jan 28 16:46:03 2019,c83824 (脆皮鸚鵡),"
看到推文很多人講抽菸這件事來回一下

第二天中午在主舞台範圍看到有人抽菸就去跟工作人員說
工作人員表示：不能抽菸嗎？我不清楚耶
我：Wake up都會宣導不能抽，這次沒規定嗎？
然後工作人員A就去問了看起來比較資深的B

工作人員B：Wake up是因為場地禁止喔，他們都有一直提醒
我：那花博也不行吧？
邊講邊Google圓山花博場地規範，除了設置的吸菸區以外都禁菸，違者開罰兩千到一萬
說實在連巨獸走ㄎㄧㄤ路線的都會到處有禁菸指標了，你覺醒團隊完全沒想到嗎？

工作人員B：那就不能抽囉！剛剛是哪個人在抽
我：他應該已經抽完了...

之後也寫了訊息給粉專建議要宣導禁菸(粉專回很快，說會多加注意)
不然好幾個在舞台後面抽菸的工作人員、在天橋附近亂丟菸蒂的
這些多少會造成一般路過民眾對音樂祭的觀感不佳吧
但是一直到第三天中午過後才看到粉專貼禁菸宣導...

沒想到第三天抽菸的狀況還更多(好在我沒去)
大家下次可以拍照錄影搭訕問個名字然後檢舉賺獎金喔



--
","['jidytri815', 'iirena', 'iirena', 'iirena', 'iirena', 'iirena', 'jidytri815', 'jidytri815', 'ilovetherock', 'ilovetherock', 'ismydear', 'andylai1997', 'andylai1997', 'feathergod', 'fightingman', 'fightingman', 'jcliu', 'john52795', 'ERiC0308QQ', 'ERiC0308QQ', 'Esis']","[': 有看到第二天官方FB宣導 可是第三天爆出一堆…', ': 第一天晚上聽茄子蛋 在舞台左前側有人抽煙 我跟一位女性工', ': 作人員詢問場內可否吸煙 她回答不行 我立刻檢舉 她有立刻', ': 去處理', ': 但第二.三天場內還是一直有人抽煙 且越來越多人  似乎沒在', ': 管了', ': 會場地圖有啊 而且就在集食行樂旁邊', ': 所以我不知道一堆人在攤位前面抽什麼意思的', ': 順便問一下 大港有禁菸嗎 因為每年南霸天甚至室內舞', ': 台都還是會有人抽煙', ': 一個人抽是違規 一群人抽就不是了', ': 巨獸在禁止吸菸的部分做的非常非常好，場內幾乎不會', ': 看到有人抽菸', ': 大聲公STAFF直接在PA台抽 主辦的態度很有問題吧...', ': 我也覺得奇怪一般的公園不是禁煙嗎？怎麼花博公園沒', ': 有', ': 在第二天新褲子的場也有看到抽煙的', ': 工作人員自已就在抽了...', ': deca joins 巫堵  有個屁孩站在音控台上點菸起來抽 我', ': 在他正下方ㄏㄏ', ': https://reurl.cc/OEQxD']"
404,Re: [閒聊] 大暖三日心得,Mon Jan 28 17:42:07 2019,stacysha (牛頭牌小沙醬),"
大暖祭前夕一度發懶想直接送票Xd
又看到粉專因為場地被各種砲轟又更不想出門了
不過最終還是掙扎著身體出門啦
因為第一天沒去
錯過美秀跟茄子蛋
也沒體會到還未拓寬的場地（？
至於舞台太小的問題 
我自己覺得還好
除了衝撞空間的問題
不過我覺得整體還是好的啦～
https://i.imgur.com/VD1Z8be.jpg

然後兩天看下來最喜歡的舞台就頒給大稻埕了
腹地夠大 舞台又好看XD  
只能說血肉沒放在大稻埕真是太可惜了
訝異的是隨性表演的時候
護城河竟然只有幾個人在擋而已？
https://i.imgur.com/VLv91MG.jpg
整個護城河基本上已經呈現二三十度的狀態了
在旁邊都替工作人員捏了把冷汗
https://i.imgur.com/tHHlP5l.jpg
主辦是小看隨性了ㄇ

晚上的新褲子
很久以前聽過他們的歌
沒想到會來台灣
也沒想到可以看到他們的現場啊啊啊
印象深刻的是鍵盤手一開始還蠻正常
結果中間整個瘋起來
（在臉書看到有人說聽到I’m not gay就聽不下去了 
https://i.imgur.com/tRtwxwV.jpg

對了
有人記得主唱彭磊在唱沒有理想的人不傷心前說的話嗎
我只記得他說很羨慕我們什麼的

第三天不知為何感覺人更多了（？
大稻埕整個滿到爆出來 
不過拍謝少年全場一起大合唱真的超爽
還可以感受到地板在震動
https://i.imgur.com/Ep2PNHt.jpg

晚上董事長
很佩服他們都快半百了還是很有號召力
訝異的是唱愛我你會死的時候竟然是唱草屯囝仔的版本！
看幾個阿伯在台上唱饒舌莫名的有趣哈哈

最後的壓軸就留給滅火器了
https://i.imgur.com/doKrgt6.jpg
雖然為了卡位沒有看到血肉QQ
不過可以在生日的時候聽滅火器也算是給自己的生日禮物哈哈
中間小插曲好像早安台灣的時候大正有唱錯？我整個沒發現XD
最後大正說今年會有火球季
雖然已經知道了不過還是很開心
（那可以邀green day來嗎
———————————
不知不覺打了篇廢文XD
最後是一些照片 不嫌棄的話看一下吧～
https://i.imgur.com/bAg9KIA.jpg
https://i.imgur.com/Rj3a2OL.jpg
https://i.imgur.com/lvIuur6.jpg
https://i.imgur.com/NHylhU1.jpg
https://i.imgur.com/aMCwQK7.jpg


--
","['andylai1997', 'andylai1997', 'miyabiko', 'miyabiko', 'miyabiko', 'Heartlessli', 'jocker1412', 'mayflumpool', 'andylai1997', 'c83824']","[': 彭磊好像是說他覺得台北有很多文化活動很棒，他們北', ': 方人都不太在意這種活動（？）', ': 這裡有彭磊的talking 內容哦！新褲子超棒', ': https://m.facebook.com/story.php?story_fbid=22867378', ': 01358797&id=1043341232365133', ': 泡泡那張好美！ 那時候我在前面撞XD', ': 莫名其妙變成吳迪最後一次演出', ': 樓上 吳迪最後絕對不是昨天^ ^', ': 吳迪最後一場好像是punk three（？', ': 你的照片拍的都好美']"
405,[心得] 大暖祭小心得,Mon Jan 28 20:10:02 2019,gloomy9991 (AlphaSeed),"
跪求
新褲子台北legacy的歌單！
聽到融化了

--
",['hsnufuji'],[': 貓王臉書有貼']
